Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,MM,NN,OO,PP,QQ,RR,SS,TT,UU,VV,WW,XX,YY,ZZ
2000-01-01,206.31,186.98,142.65,248.31,115.85,119.59,67.43,169.09,169.56,244.4,93.66,283.91,125.66,121.3,154.97,215.95,283.38,118.72,236.78,110.96,143.37,76.97,157.76,289.16,132.66,221.95,166.02,117.8,281.18,254.26,96.23,248.83,273.66,279.05,249.21,236.11,256.53,196.84,245.24,89.71,104.9,235.4,159.34,288.34,131.71,185.35,188.47,155.31,58.71,217.3,126.66,204.72
2000-01-02,207.12,188.68,141.78,245.44,115.03,119.39,66.88,166.99,167.95,245.23,93.69,286.9,125.49,122.34,154.81,216.82,280.58,118.61,235.1,110.68,144.85,76.68,159.72,291.81,133.44,220.76,166.67,116.0,278.31,255.33,96.0,251.57,273.95,272.92,249.75,233.53,257.96,199.02,250.82,89.99,105.32,239.07,160.03,288.72,131.5,184.87,191.06,155.64,58.51,218.64,128.07,207.7
2000-01-03,207.76,186.17,139.63,247.78,115.75,117.65,66.49,164.86,166.9,248.97,93.93,289.22,125.71,123.65,159.38,215.31,279.09,119.52,233.4,110.53,146.05,77.74,157.06,291.83,135.45,218.42,166.53,116.85,274.26,252.22,95.63,252.0,276.37,277.08,247.87,235.61,260.61,199.17,250.5,89.11,105.48,238.32,160.18,288.05,131.96,185.12,191.36,155.12,58.74,217.85,128.33,207.42
2000-01-04,203.84,183.97,141.09,252.27,113.52,117.39,66.56,163.62,169.17,249.13,95.77,288.54,124.6,122.87,158.57,215.03,281.28,120.24,237.98,110.63,146.61,77.39,156.08,288.84,138.31,218.82,165.12,117.2,275.42,255.84,94.8,252.3,269.67,282.91,241.71,235.81,258.09,197.33,251.86,89.71,105.84,240.4,159.12,285.66,130.81,182.03,194.31,156.9,58.02,220.24,129.51,207.78
2000-01-05,202.35,183.61,139.42,250.49,111.59,116.33,66.66,162.57,169.17,247.83,97.32,285.82,125.16,123.49,153.88,216.55,277.53,119.54,234.63,110.51,143.82,76.77,156.66,287.53,136.99,216.04,163.85,118.0,272.94,256.81,94.73,251.37,270.01,284.04,242.05,235.02,259.58,198.67,252.99,90.97,105.9,241.54,161.35,284.82,131.74,182.46,196.61,158.35,58.32,217.87,128.76,208.71
2000-01-06,201.98,179.48,140.71,252.66,113.62,117.19,67.5,160.17,168.67,245.33,96.51,285.01,124.61,123.43,153.8,217.83,275.08,120.59,233.67,110.82,143.18,76.48,152.44,292.35,137.14,214.23,167.97,119.04,270.5,260.78,95.0,251.5,270.54,285.5,246.25,233.02,260.42,201.34,250.12,91.01,106.84,242.11,160.66,281.97,130.71,182.85,198.94,158.77,58.0,215.56,128.76,207.18
2000-01-07,198.67,177.47,140.19,256.99,113.43,116.18,69.64,162.21,170.1,243.59,95.49,282.21,122.95,123.98,154.23,222.5,276.84,119.37,232.11,109.12,145.32,76.37,154.48,288.64,136.71,215.09,164.2,116.14,273.53,257.49,95.5,252.0,270.72,286.68,244.92,233.02,256.68,199.81,253.96,90.5,105.34,239.8,161.78,283.28,131.42,184.32,199.33,158.4,58.57,218.28,126.1,210.4
2000-01-08,200.23,180.36,142.06,257.19,113.61,116.55,70.34,163.41,168.48,244.21,94.19,278.48,120.01,123.48,153.69,222.78,272.68,120.72,231.17,108.71,144.59,77.86,152.07,291.81,139.18,214.74,166.12,116.34,271.76,256.94,95.77,246.9,270.81,288.95,242.89,229.22,255.12,198.62,253.85,91.28,104.03,239.59,158.94,283.64,131.81,186.72,202.6,159.39,58.68,225.98,127.92,212.78
2000-01-09,200.44,180.49,143.79,253.44,116.08,116.64,71.24,161.67,172.71,237.85,96.18,283.86,118.5,123.95,151.91,225.51,269.28,121.34,232.63,107.97,145.76,77.59,152.59,289.75,139.5,215.95,166.3,114.92,272.53,249.98,95.82,242.05,269.7,283.49,240.68,235.8,254.0,196.98,255.24,91.73,105.08,236.91,158.09,289.02,132.37,187.62,204.7,160.17,59.49,224.58,127.42,210.7
2000-01-10,197.71,182.17,141.14,258.53,116.29,118.14,71.23,159.71,174.29,237.32,93.85,282.5,118.88,126.81,152.53,226.94,270.64,122.32,233.65,108.17,145.05,76.05,150.66,290.17,142.18,217.36,169.08,113.63,270.03,248.16,95.82,235.99,270.86,285.84,243.16,231.97,252.7,196.5,255.32,92.84,103.93,241.64,158.07,294.08,132.69,187.39,202.82,159.34,58.7,224.85,127.57,210.65
2000-01-11,195.27,180.32,140.15,260.23,116.72,117.06,71.85,157.09,176.12,237.21,92.93,284.45,120.03,127.75,153.34,226.23,274.34,121.15,233.77,106.33,145.63,76.18,151.39,292.35,142.82,219.06,169.38,112.67,272.95,246.51,95.37,236.99,271.09,289.93,242.03,232.94,251.42,195.18,256.7,90.59,104.84,241.94,156.2,300.96,130.89,185.91,202.38,157.53,59.46,224.57,129.81,210.95
2000-01-12,196.02,182.41,141.06,264.03,116.75,118.04,72.32,156.36,178.91,238.22,93.73,284.07,121.37,127.83,153.32,225.52,272.17,123.02,231.96,105.84,145.62,76.11,152.05,290.79,145.51,220.72,169.14,112.12,273.79,247.87,94.55,240.29,273.2,289.6,238.57,232.38,250.63,195.18,260.51,91.05,105.18,245.3,159.04,301.12,131.42,186.94,205.18,159.03,60.33,228.78,130.49,210.71
2000-01-13,196.65,182.89,140.49,270.36,114.48,118.63,72.22,157.11,175.37,239.04,94.18,285.8,122.41,128.72,151.34,226.26,271.08,123.66,230.04,106.56,144.99,76.51,151.75,287.8,146.7,218.39,169.31,112.75,272.64,249.54,96.31,240.89,269.36,287.39,235.73,233.24,255.41,197.74,259.84,89.93,105.24,246.33,160.5,306.27,129.7,183.41,206.73,163.03,59.7,227.04,131.38,212.34
2000-01-14,196.4,182.34,138.43,268.94,115.54,118.02,71.87,159.06,178.88,232.85,94.17,285.5,123.3,126.64,149.0,229.97,267.99,125.62,229.46,107.61,143.43,75.89,149.83,284.62,146.39,219.21,170.22,112.59,273.83,248.59,95.79,241.0,268.33,293.52,241.05,231.83,254.75,199.41,262.28,89.5,105.28,243.94,162.13,310.28,128.54,179.79,207.88,164.81,59.04,228.27,132.77,211.27
2000-01-15,199.42,182.98,137.71,275.21,114.69,116.93,72.32,157.82,177.8,232.35,93.2,288.49,123.51,123.61,150.46,229.01,269.1,125.33,227.27,107.9,142.95,76.52,149.3,285.22,144.55,221.64,171.08,112.81,275.71,247.89,96.46,240.54,266.94,298.77,241.87,233.48,254.84,198.19,263.46,88.15,105.45,240.88,162.9,314.7,128.33,179.64,207.0,166.62,59.37,228.72,132.86,210.34
2000-01-16,198.72,185.15,138.01,274.15,116.05,116.87,72.86,157.27,178.15,232.73,92.31,290.31,121.43,124.87,151.47,226.53,268.9,125.88,230.11,108.82,144.37,77.64,150.89,284.46,144.46,221.34,170.65,115.89,276.25,251.72,95.74,239.2,265.4,305.68,240.16,234.7,253.23,193.29,271.06,88.45,106.28,243.6,162.18,314.48,129.18,182.18,208.67,165.05,58.69,231.48,131.74,209.66
